symbol,date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
CMCSA,2018-12-31,94507000000.0,0.118082010269,0.0,94507000000.0,0.0,0.0,7036000000.0,19009000000.0,3542000000.0,15242000000.0,3380000000.0,0.0,0.0,11731000000.0,0.0,11731000000.0,2.56,2.53,4584000000.0,4640000000.0,0.722413793103,1.0,0.314103717185,0.201138540002,0.124128371443,0.153671156634,29685000000.0,19009000000.0,11731000000.0,0.161279058694,0.124128371443,3814000000.0,94000000.0,3908000000.0,11104000000.0,0.0,21848000000.0,44437000000.0,79820000000.0,7883000000.0,3950000000.0,2.29836e+11,2.51684e+11,8494000000.0,4398000000.0,27603000000.0,1.07345e+11,1.11743e+11,2182000000.0,1543000000.0,0.0,1.50913e+11,1.80071e+11,29944000000,41983000000.0,71613000000.0,7977000000.0,1.07929e+11,0.0,1555000000.0,10676000000.0,826000000.0,24297000000.0,11709000000.0,-38219000000.0,-6577000000.0,-50854000000.0,-9177000000.0,-5320000000.0,-3352000000.0,27140000000.0,-245000000.0,338000000.0,12588000000.0,0.0
CMCSA,2017-12-31,84526000000.0,0.0512791811251,0.0,84526000000.0,0.0,0.0,6317000000.0,17987000000.0,3086000000.0,15322000000.0,-7578000000.0,0.0,0.0,22714000000.0,0.0,22714000000.0,4.82,4.75,4708000000.0,4786000000.0,0.602381947346,1.0,0.329034853181,0.212798428886,0.26872205002,0.140229041952,27812000000.0,17987000000.0,22714000000.0,0.181269668504,0.26872205002,3428000000.0,9000000.0,3437000000.0,8546000000.0,0.0,16060000000.0,38470000000.0,50086000000.0,6931000000.0,2130000000.0,1.70889e+11,1.86949e+11,6926000000.0,5134000000.0,21561000000.0,59422000000.0,64556000000.0,1552000000.0,1497000000.0,0.0,94582000000.0,1.18343e+11,29980000000,38192000000.0,68606000000.0,6940000000.0,61128000000.0,0.0,2200000000.0,9825000000.0,751000000.0,21403000000.0,11297000000.0,-532000000.0,-7727000000.0,-13704000000.0,-4459000000.0,-5435000000.0,-2883000000.0,-7572000000.0,0.0,127000000.0,10106000000.0,0.0
CMCSA,2016-12-31,80403000000.0,0.0790900550262,0.0,80403000000.0,0.0,0.0,6114000000.0,16859000000.0,2942000000.0,14353000000.0,5308000000.0,0.0,0.0,8695000000.0,0.0,8695000000.0,3.61,3.57,2410000000.0,2438000000.0,1.06685808039,1.0,0.328557392137,0.2096812308,0.108142730993,0.125679390073,26417000000.0,16859000000.0,8695000000.0,0.178513239556,0.108142730993,3301000000.0,1772000000.0,5073000000.0,7955000000.0,0.0,16361000000.0,36253000000.0,49757000000.0,5247000000.0,4067000000.0,1.64139e+11,1.805e+11,6915000000.0,5480000000.0,21535000000.0,55566000000.0,61046000000.0,1132000000.0,1103000000.0,0.0,1.01345e+11,1.26557e+11,30741000000,23076000000.0,53943000000.0,7019000000.0,57745000000.0,0.0,3677000000.0,9558000000.0,640000000.0,19240000000.0,10821000000.0,-3929000000.0,-6697000000.0,-18385000000.0,-4842000000.0,-4977000000.0,-2601000000.0,151000000.0,0.0,1006000000.0,8419000000.0,0.0
CMCSA,2015-12-31,74510000000.0,0.0833878589604,0.0,74510000000.0,0.0,0.0,5943000000.0,15998000000.0,2702000000.0,13372000000.0,4959000000.0,0.0,0.0,8163000000.0,0.0,8163000000.0,3.28,3.24,2486000000.0,2518000000.0,0.967831612391,1.0,0.331203865253,0.214709434975,0.109555764327,0.137954636961,24678000000.0,15998000000.0,8163000000.0,0.179465843511,0.109555764327,2295000000.0,106000000.0,2401000000.0,6896000000.0,0.0,12303000000.0,33665000000.0,46751000000.0,3224000000.0,4014000000.0,1.54271e+11,1.66574e+11,6215000000.0,3627000000.0,18178000000.0,48994000000.0,52621000000.0,1302000000.0,1136000000.0,0.0,93197000000.0,1.14305e+11,31001000000,21413000000.0,52269000000.0,3330000000.0,50326000000.0,0.0,2930000000.0,8680000000.0,567000000.0,18778000000.0,9869000000.0,-1786000000.0,-7534000000.0,-11964000000.0,-4513000000.0,-6714000000.0,-2437000000.0,-8429000000.0,0.0,-1615000000.0,8909000000.0,0.0
CMCSA,2014-12-31,68775000000.0,0.0636899330312,0.0,68775000000.0,0.0,0.0,5078000000.0,14904000000.0,2617000000.0,12465000000.0,3873000000.0,0.0,0.0,8380000000.0,0.0,8380000000.0,3.24,3.2,2583000000.0,2620000000.0,0.860305343511,1.0,0.333304252999,0.216706652126,0.121846601236,0.138495092694,22923000000.0,14904000000.0,8380000000.0,0.181243184297,0.121846601236,3910000000.0,602000000.0,4512000000.0,6321000000.0,0.0,13531000000.0,30953000000.0,41503000000.0,3135000000.0,3572000000.0,1.45808e+11,1.59339e+11,5638000000.0,4217000000.0,17410000000.0,44017000000.0,48234000000.0,915000000.0,1171000000.0,0.0,87795000000.0,1.06628e+11,31288000000,21539000000.0,52711000000.0,3737000000.0,44324000000.0,0.0,1423000000.0,8019000000.0,513000000.0,16945000000.0,8542000000.0,-477000000.0,-4442000000.0,-8733000000.0,-2671000000.0,-4216000000.0,-2254000000.0,-6020000000.0,0.0,2192000000.0,8403000000.0,0.0
CMCSA,2013-12-31,64657000000.0,0.0333546428001,0.0,64657000000.0,0.0,0.0,4969000000.0,13563000000.0,2574000000.0,11115000000.0,3980000000.0,0.0,0.0,6816000000.0,0.0,6816000000.0,2.6,2.56,2625000000.0,2665000000.0,0.736960600375,1.0,0.45908408989,0.209768470545,0.10541782019,0.116986559847,29683000000.0,13563000000.0,6816000000.0,0.171907140758,0.10541782019,1718000000.0,3573000000.0,5291000000.0,6376000000.0,0.0,14075000000.0,29840000000.0,41955000000.0,3770000000.0,3795000000.0,1.44738e+11,1.58813e+11,5528000000.0,3280000000.0,18912000000.0,44567000000.0,47847000000.0,898000000.0,1701000000.0,0.0,87886000000.0,1.08119e+11,31373000000,19235000000.0,50694000000.0,7343000000.0,46129000000.0,0.0,1321000000.0,16120000000.0,419000000.0,14160000000.0,7605000000.0,-99000000.0,-3223000000.0,-9514000000.0,-3789000000.0,-1960000000.0,-1964000000.0,-13879000000.0,0.0,-9233000000.0,6555000000.0,0.0
CMCSA,2012-12-31,62570000000.0,0.120482790731,0.0,62570000000.0,0.0,0.0,4807000000.0,12179000000.0,2521000000.0,11609000000.0,3744000000.0,0.0,0.0,6203000000.0,0.0,6203000000.0,2.32,2.28,2678000000.0,2717000000.0,0.591829223408,1.0,0.470369186511,0.194645996484,0.0991369665974,0.146076394438,29431000000.0,12179000000.0,6203000000.0,0.185536199457,0.0991369665974,10951000000.0,1464000000.0,12415000000.0,5521000000.0,0.0,19991000000.0,27232000000.0,44825000000.0,6325000000.0,2016000000.0,1.4498e+11,1.64971e+11,6206000000.0,2376000000.0,16714000000.0,38082000000.0,40458000000.0,851000000.0,1573000000.0,0.0,81463000000.0,1.15615e+11,33030000000,16280000000.0,49356000000.0,7789000000.0,29507000000.0,0.0,17438000000.0,17252000000.0,371000000.0,14854000000.0,6637000000.0,-90000000.0,-3297000000.0,-1486000000.0,-2337000000.0,-2767000000.0,-1608000000.0,-4037000000.0,0.0,9331000000.0,8217000000.0,0.0
CMCSA,2011-12-31,55842000000.0,0.471966681604,0.0,55842000000.0,0.0,0.0,37485000000.0,10721000000.0,2505000000.0,8207000000.0,3050000000.0,0.0,0.0,4160000000.0,0.0,4160000000.0,1.51,1.5,2746000000.0,2778000000.0,0.427285817135,1.0,0.450270405788,0.191988109308,0.074495899144,0.161849503958,25144000000.0,10721000000.0,4160000000.0,0.146968231797,0.074495899144,1620000000.0,3028000000.0,4648000000.0,4351000000.0,0.0,8573000000.0,27559000000.0,45039000000.0,3028000000.0,1868000000.0,1.49245e+11,1.57818e+11,5705000000.0,1367000000.0,13241000000.0,37942000000.0,39309000000.0,790000000.0,1435000000.0,0.0,80908000000.0,1.10544e+11,33423000000,13971000000.0,47274000000.0,6056000000.0,37689000000.0,0.0,16395000000.0,14423000000.0,344000000.0,14345000000.0,6261000000.0,-6407000000.0,-2141000000.0,-12508000000.0,-3760000000.0,-1858000000.0,-1187000000.0,-6201000000.0,0.0,-4364000000.0,8084000000.0,0.0
CMCSA,2010-12-31,37937000000.0,0.0609967557892,0.0,37937000000.0,0.0,8091000000.0,23341000000.0,7980000000.0,2156000000.0,6104000000.0,2436000000.0,0.0,0.0,3635000000.0,0.0,3635000000.0,1.29,1.29,2808000000.0,2820000000.0,0.377304964539,1.0,0.384743126763,0.210348736062,0.0958167488204,0.163903313388,14596000000.0,7980000000.0,3635000000.0,0.160898331444,0.0958167488204,5984000000.0,81000000.0,6065000000.0,1855000000.0,0.0,8886000000.0,23515000000.0,18560000000.0,6670000000.0,174000000.0,1.09648e+11,1.18534e+11,3291000000.0,1800000000.0,8234000000.0,29615000000.0,31415000000.0,0.0,1251000000.0,0.0,65723000000.0,74180000000.0,32263000000,12158000000.0,44354000000.0,6751000000.0,25431000000.0,0.0,223000000.0,6616000000.0,300000000.0,11179000000.0,5497000000.0,-183000000.0,-1460000000.0,-5711000000.0,-1153000000.0,-1166000000.0,-1064000000.0,-155000000.0,0.0,5313000000.0,5682000000.0,0.0
CMCSA,2009-12-31,35756000000.0,0.0387,0.0,35756000000.0,0.0,22042000000.0,28542000000.0,7214000000.0,2348000000.0,5116000000.0,1478000000.0,-10000000.0,0.0,3638000000.0,0.0,3638000000.0,0.635,0.63,5709366964.0,5709366964.0,0.133,1.0,0.391,0.2087,0.102,0.1298,13964000000.0,7464000000.0,3628000000.0,0.1431,0.1017,671000000.0,50000000.0,721000000.0,1711000000.0,0.0,3223000000.0,23855000000.0,78490000000.0,5947000000.0,240000000.0,109510000000.0,112733000000.0,3094000000.0,1156000000.0,7249000000.0,27940000000.0,29096000000.0,0.0,27800000000.0,0.0,62673000000.0,69922000000.0,-46000000.0,10005000000.0,42721000000.0,5997000000.0,28375000000.0,791000000.0,2999000000.0,6500000000.0,257000000.0,10281000000.0,-5639000000.0,14000000.0,-346000000.0,-5897000000.0,-3174000000.0,-764000000.0,-761000000.0,-4908000000.0,0.0,-524000000.0,4642000000.0,-0.5895
